company_name,company_number,enriched_records,qualified_leads,total
Granite Construction,1,30,0,30
Acc Exteriors,2,3,0,3
Coastal Doors,3,10,7,17
Beacon Metals,4,15,12,27
Giuliano Commerical Doors,5,0,0,0
CM Controls,6,6,0,6
Central Builders,7,11,0,11
Madison Floors,8,2,0,2
Four Corners Building Supply,9,7,2,9
Doorwayz Inc,10,12,5,17
EuroTherm,11,11,0,11
Suffolk,12,0,0,0
Central Valley Hardware,13,8,5,13
RT Doors,14,7,4,11
Goschiller,15,7,2,9
Wausau Building Supply,16,9,3,12
Unmatched,0,1,0,1
Total,,139,40,179 