company_name,description,linkedin,website,employees_raw,employee_count,industry,summary,has_estimators,decision_makers,lead_count,relevant_lead_count,is_qualified,qualification_reason,enrichment_status,icp_match
Architectural Doors and Windows,"Custom manufacturer of glass, curtain walls, doors and entrances. Products include handrails, tent walls, sunshades, storefronts and skylights. Markets served include office, retail, medical, education, public sectors.",https://www.linkedin.com/company/ad&w-architectural-doors-&-windows,https://a-d-w.biz/,Approximately 70-88 (LinkedIn range 51-200),70,Construction - Commercial Glass and Doors Fabrication and Installation,"Architectural Doors and Windows (ADW) is a well-established, privately held manufacturer and installer specializing in custom glass, curtain walls, doors, entrances, handrails, tent walls, sunshades, storefronts, and skylights serving office, retail, medical, education, and public sectors primarily in New England. Founded in 1946 as Portland Glass, ADW is recognized for its Division 8 estimating expertise and is the largest non-union commercial glass installer north of Boston.","Yes, employs Division 8 estimators including Head Estimator Patricia Mahoney and others.",,5.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 70 (from 'Approximately 70-88 (LinkedIn range 51-200)') >= 10; Has estimator: Found estimator in employee titles; ICP match: yes. adw is similar to other door suppliers and manufacturers like overly door co., acudor products,; No decision makers found",Success,"Yes. ADW is similar to other door suppliers and manufacturers like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation due to comparable product lines (doors, frames, hardware, storefronts, curtain walls), market served (commercial sectors), and scale (mid-sized enterprise)."
Waukegan Gurnee Glass Company,"Custom manufacturer of doors and glass enclosures. Products include window screens, sun shades, cabinets, table top, storm doors and windows, storefronts, curtain walls, stairs and hand rails.",https://www.linkedin.com/company/waukegan-gurnee-glass,https://www.wgglass.com/,Approximately 70-100 employees estimated; LinkedIn shows 11-50 employees,70,Construction specializing in glass and door manufacturing and installation,Custom manufacturer and installer specializing in doors and glass enclosures for residential and commercial customers.,"Yes, Michael Pope is a Commercial Estimator and Project Manager with Division 8 estimator responsibilities.",,4.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 70 (from 'Approximately 70-100 employees estimated; LinkedIn shows 11-50 employees') >= 10; Has estimator: Found estimator in employee titles; ICP match: yes, similar to overly door co. and acudor products due to focus on custom door products and commerc; No decision makers found",Success,"Yes, similar to Overly Door Co. and Acudor Products due to focus on custom door products and commercial glazing."
Kountry Wood Products,"Manufacturer of wood products. Products include cabinets, doors, shelves, drawers and accessories. Applications include kitchens, bathrooms, residential and commercial.",https://www.linkedin.com/company/kountry-wood-products,https://kountrywood.com/,Approximately 70-100,70,Wood products and cabinetry manufacturing,"Manufacturer of American-made cabinetry including cabinets, doors, shelves, and accessories for kitchens, bathrooms, residential and commercial applications.",No,,7.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 70 (from 'Approximately 70-100') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: partial - while the company manufactures doors, it primarily focuses on cabinetry and broader wood p; No decision makers found",Success,"Partial - while the company manufactures doors, it primarily focuses on cabinetry and broader wood products unlike specialized door/frame/hardware suppliers such as Overly Door Co., Acudor Products, and voestalpine Roll Forming Corporation."
Vector Windows,"Manufacturer of doors and windows for builders. Products include full-view patio doors, extension jamb, awning, single and double-hung windows. Offered with sound transmittance and tempered glasses. Custom sizing options are available.",https://www.linkedin.com/company/vector-windows/,https://vectorwindows.com,Approximately 70-72,70,Door and Window Manufacturing,"Vector Windows manufactures doors and windows primarily for builders, offering customizable sizing, specialized glass options including sound transmittance and tempered glass, and emphasizes energy efficiency exceeding ENERGY STAR standards. The company focuses on reliable, timely delivery and builder support, with significant recent investment in manufacturing expansion.",No clear evidence of dedicated Div 8 Estimators on staff; estimating functions likely integrated within operations or sales roles.,,10.0,0.0,False,"Confidence score 9.0 >= 7.0; Employee count 70 (from 'Approximately 70-72') >= 10; Has estimator: no clear evidence of dedicated div 8 estimators on staff; estimating functions likely integrated within operations or sales roles.; ICP match: yes, this company is similar to other door/window manufacturers like overly door co., acudor product; No decision makers found",Success,"Yes, this company is similar to other door/window manufacturers like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation due to its core product line and industry focus, but differs by emphasizing builder-specific service, customizable sizing, and advanced glass options."
"Marson & Marson Lumber, Inc.","Custom manufacturer of lumber and building materials. Products include wood trusses, pre-hung doors, gable vents, fireplace mantels, computer workstations, and trims.",https://www.linkedin.com/company/marson-and-marson-lumber,https://www.marsonandmarson.com,60+,60,Wholesale Building Materials,"Marson & Marson Lumber, Inc. is a family-owned regional lumber and building materials company based in Leavenworth, WA with multiple locations in North Central Washington. Founded in 1955, it offers a broad range of products including lumber, wood trusses, pre-hung doors, fireplace mantels, trims, kitchen cabinets, roofing, siding, and custom millwork with its own door shop. The company serves contractors and homeowners with in-house estimating and logistics services.",No clear evidence of specialized Division 8 estimators; the company employs estimators providing in-house services but not specifically Division 8 specialists.,,6.0,0.0,False,"Confidence score 9.0 >= 7.0; Employee count 60 (from '60+') >= 10; Has estimator: Found estimator in employee titles; ICP mismatch: no. while marson & marson supplies doors and custom millwork, it differs from specialized door suppl; No decision makers found",Success,"No. While Marson & Marson supplies doors and custom millwork, it differs from specialized door suppliers/manufacturers like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation by having a broader product range and regional market focus rather than specialization."
"Dakota Kitchen & Bath, Inc.","Custom manufacturer of wood products. Products include cabinets and doors. Applications include kitchens, bathrooms and residential.",https://www.linkedin.com/company/dakota-kitchen-&-bath,https://www.dakotakitchen.com/,~58 (LinkedIn estimate),58,Wholesale Building Materials (Custom Cabinetry),"Dakota Kitchen & Bath, Inc. is a custom wood products manufacturer focusing on cabinetry and doors for kitchens, bathrooms, and residential applications, emphasizing craftsmanship and custom or semi-custom solutions rather than mass production.",No,,6.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 58 (from '~58 (LinkedIn estimate)') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no, because while they manufacture doors as cabinetry components, their primary focus is broader cus; No decision makers found",Success,"No, because while they manufacture doors as cabinetry components, their primary focus is broader custom cabinetry for residential use and they do not specialize solely in door manufacturing like Overly Door Co. or Acudor Products."
Virginia Glass Products Corp.,All-Glass Doors,https://www.linkedin.com/company/virginia-glass-and-mirror-company,https://www.va-glass.com,51-200 (approx. 62 listed on LinkedIn),51,Manufacturing - Architectural Glass Products and Commercial Glass Doors,"Virginia Glass Products Corp. is a specialized manufacturer and supplier of all-glass entrance doors and architectural glass systems, serving primarily commercial construction markets with a focus on quality and craftsmanship. The company operates primarily from Martinsville, Virginia, and has been in business since 1913.",No clear evidence found that the company employs DIV 8 estimators; estimation may be managed internally or externally.,,7.0,0.0,False,"Confidence score 9.2 >= 7.0; Employee count 51 (from '51-200 (approx. 62 listed on LinkedIn)') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: yes, virginia glass products corp is similar to other door suppliers like overly door co., acudor pr; No decision makers found",Success,"Yes, Virginia Glass Products Corp is similar to other door suppliers like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation because they all serve the commercial construction market and offer entrance door products; however, Virginia Glass Products differentiates by specializing exclusively in all-glass and architectural glass doors rather than metal or framed doors."
"Noise Barriers, LLC","Manufacturer of standard & custom sound control doors. Features include adjustable mortised bottom, double magnetic seals at head & jambs, cam-lift hinge design, split frame assembly, factory glazed vision panels doors, single-leaf & double-leaf & bi-fold designs. Applications include radio, TV & audio recording studios, stage & rehearsal areas, convention halls, auditoriums, music practice rooms, conference rooms, control rooms, offices & executive suites. ADA & HIPAA compliant. Meets ASTM standards.",https://www.linkedin.com/company/noisebarriers,https://www.noisebarriers.com,51-200 (LinkedIn lists about 25 employees),51,Industrial Machinery Manufacturing (architectural and industrial acoustical noise control products),"Noise Barriers, LLC manufactures standard and custom sound control doors and other acoustical products specializing in noise control solutions compliant with ADA, HIPAA, and ASTM standards, serving markets like studios, auditoriums, conference rooms, and executive suites.","No, there is no dedicated Division 8 estimator role found; estimating responsibilities are likely handled by sales or project management staff.",,6.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 51 (from '51-200 (LinkedIn lists about 25 employees)') >= 10; Has estimator: no, there is no dedicated division 8 estimator role found; estimating responsibilities are likely handled by sales or project management staff.; ICP match: yes, this company is similar to door suppliers/manufacturers like overly door co., acudor products, ; No decision makers found",Success,"Yes, this company is similar to door suppliers/manufacturers like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation due to overlapping product lines related to doors and acoustical noise control."
St. Germain's Glass Co.,Glass & Metal Fabrication,https://www.linkedin.com/company/st-germains-glass-co,https://www.stgermainsglass.com,51-200,51,"Glass, Ceramics and Concrete Manufacturing","St. Germain's Glass Co. is a longstanding Duluth, MN-based company specializing in custom architectural glass and metal fabrication including storefronts, curtain walls, shower doors, and metal doors with locking hardware. It is the oldest division of the Brin Glass Company family and provides glass repair, replacement, installation and metal fabrication services for residential and commercial projects in the upper Midwest region.","Not explicitly confirmed; presence of a commercial estimator role exists but specifically for the related cabinetry division, with no direct confirmation of a Division 8 estimator for door/frame/hardware cost estimation at St. Germain's Glass Co.",,2.0,0.0,False,"Confidence score 8.5 >= 7.0; Employee count 51 (from '51-200') >= 10; Has estimator: Found estimator in employee titles; ICP mismatch: no. although the company fabricates some metal doors with hardware, it is broader than typical door ; No decision makers found",Success,"No. Although the company fabricates some metal doors with hardware, it is broader than typical door suppliers/manufacturers like Overly Door Co., Acudor Products, or voestalpine Roll Forming Corporation, which focus narrowly on door products."
"Dakota Kitchen & Bath, Inc.","Custom manufacturer of wood products. Products include cabinets and doors. Applications include kitchens, bathrooms and residential.",https://www.linkedin.com/company/dakota-kitchen-&-bath,https://dakotakitchen.com/,51-200 (58 on LinkedIn),51,Wholesale Building Materials (specializing in custom cabinetry and wood products),"Dakota Kitchen & Bath, Inc. is a custom manufacturer of wood products, including cabinets and doors, specializing in residential kitchens, bathrooms, and office cabinetry with a focus on made-to-order craftsmanship and customizable cabinet styles.",No,,9.0,0.0,False,Confidence score 9.0 >= 7.0; Employee count 51 (from '51-200 (58 on LinkedIn)') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: partial - the company manufactures doors but primarily focuses on full custom cabinetry rather than ; No decision makers found,Success,"Partial - The company manufactures doors but primarily focuses on full custom cabinetry rather than solely door manufacturing, unlike typical door suppliers such as Overly Door Co."
"Thad Ziegler Glass, Ltd.","Custom manufacturer of glass products. Doors, enclosures, and mirorrs are provided. Custom and insulating glasses are also available. Glass repair is offered as secondary service. Suitable for commercial and automotive glass applications.",https://www.linkedin.com/company/thad-ziegler-glass,https://www.zieglerglass.com,51-200,51,Construction (glass manufacturing and services),"Thad Ziegler Glass, Ltd., established in 1893, is San Antonio's oldest family-operated custom glass manufacturer, specializing in doors, enclosures, mirrors, and insulating glass for commercial, residential, and automotive applications, with secondary glass repair services. The company operates multiple locations in Texas and is led by experienced family executives.",No,,3.0,0.0,False,"Confidence score 9.0 >= 7.0; Employee count 51 (from '51-200') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no, the company focuses broadly on custom glass manufacturing rather than specializing exclusively i; No decision makers found",Success,"No, the company focuses broadly on custom glass manufacturing rather than specializing exclusively in door, frame, and hardware products as typical door suppliers like Overly Door Co. do."
Wilbert's U-Pull It,"Distributor of automotive parts. Headlights, bumper covers or assemblies, hoods, doors, grills, mirrors, and radiation assemblies are offered. Rear or front drive shafts, fuel pumps, exhaust manifolds, and oil pans are also provided.",https://www.linkedin.com/company/wilberts-u-pull-it,https://www.wilberts.com/u-pull-it/,51-200 employees,51,Automotive Recycling / Motor Vehicle Manufacturing,"Wilbert's U-Pull It is a family-owned automotive recycling and parts distribution company operating self-service salvage yards in New York, specializing in used automotive parts such as headlights, bumpers, hoods, doors, grills, mirrors, drive shafts, fuel pumps, exhaust manifolds, and oil pans.",No,,2.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 51 (from '51-200 employees') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: no, this company is not similar to door suppliers or manufacturers like 'overly door co.' or 'acudor; No decision makers found",Success,"No, this company is not similar to door suppliers or manufacturers like 'Overly Door Co.' or 'Acudor Products, Inc.' because it focuses on automotive recycling and used parts distribution rather than door or hardware manufacturing and supply."
Mesko Glass & Mirror,"Manufacturer of stock and custom glass products. Automotive glass, security and storefront door and window glass, shower doors and enclosures, and residential glass door and window products are offered. Commercial steel and wood doors and door hardware also available. Frameless and framed mirrors are also offered. Mirrors, glass, and plexiglass can be custom cut to suit applications. Windshield glass chip repair services are also offered.",https://www.linkedin.com/company/mesko-glass,https://mesko.com/,51-200,51,"Construction, specializing in commercial glazing, automotive glass, residential glass, doors, and hardware","Mesko Glass & Mirror Co., Inc., founded in 1930 and headquartered in Scranton, PA, is a family-owned manufacturer and installer of diverse glass products including automotive glass, commercial steel and wood doors, door hardware, residential and storefront glass doors and windows, shower doors, frameless and framed mirrors. They provide custom glass cutting, automotive windshield chip repair, and glazing services, serving Northeastern Pennsylvania with multiple locations. They employ DIV 8 estimators and have a broad product focus beyond typical door supply.",Yes,,6.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 51 (from '51-200') >= 10; Has estimator: Found estimator in employee titles; ICP match: partial match. mesko glass & mirror shares similarities with door suppliers like overly door co., ac; No decision makers found",Success,"Partial match. Mesko Glass & Mirror shares similarities with door suppliers like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation in supplying commercial doors and door hardware. However, the company differs due to a broader product and service offering including automotive glass, custom glass fabrication, and glazing services, making their market focus more diverse than typical door manufacturers."
"1st United Door Technologies, Inc.","Manufacturer of garage doors for residential, commercial and industrial sectors. Materials handled include steel and wood.",https://www.linkedin.com/company/1st-united-door-technologies,https://firstudt.com/,51-200,51,"Wholesale Building Materials, Garage Door Manufacturing","1st United Door Technologies, Inc. is a publicly traded manufacturer of innovative residential and commercial garage doors made of steel and wood. Founded in 1999 and headquartered in Tempe, Arizona, it serves a broad Western US market through multiple distribution centers and is recognized for patented technologies such as RITS™ door designs and MyQ™ integrated garage door openers.",No explicit evidence of dedicated DIV 8 estimators on staff was found; further research is needed to confirm.,,3.0,0.0,False,"Confidence score 9.2 >= 7.0; Employee count 51 (from '51-200') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: yes. the company is similar to notable door manufacturers like overly door co., acudor products, inc; No decision makers found",Success,"Yes. The company is similar to notable door manufacturers like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation due to its focus on steel and wood garage doors for residential and commercial markets."
Spacefile International Corp.,"Manufacturer of modular storage systems and accessories for storing applications. Products include track and decking systems, shelving, doors, locks, pegboard, drawers, plunger stops, dividers, reference shelves, boxes, label holders and mail slot inserts.",https://www.linkedin.com/company/spacefile-international-corp,https://spacefile.com/,51-200,51,"Retail Office Equipment, specializing in modular high-density storage solutions","Spacefile International Corp. is a Canadian manufacturer of high-density modular storage systems and accessories, including shelving, doors, locks, and related hardware. The company offers customizable and reconfigurable storage solutions with integrated design services and a strong sustainability program. It serves diverse markets such as retail, corporate, healthcare, and government, focusing on integrated storage rather than solely door manufacturing.",No,,7.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 51 (from '51-200') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: yes, partially similar to other door suppliers like overly door co. and acudor products, inc. becaus; No decision makers found",Success,"Yes, partially similar to other door suppliers like Overly Door Co. and Acudor Products, Inc. because they supply doors and door hardware; however, Spacefile's broader focus is on modular, integrated storage systems which distinguishes it from typical door manufacturers."
"Binghamton Material Handling, Inc.","Distributor of Dutch, sliding and woven wire doors. Available with padlocks, spring bolts, lugs, cylinder locks and posts.",https://www.linkedin.com/company/bmhequipment,https://www.bmhinc.com,51-200 (about 17 on LinkedIn),51,Business Supplies & Equipment (Material Handling Equipment Distributor),"Binghamton Material Handling, Inc. (BMH Equipment) is a distributor of material handling and storage equipment supplies including pallet racks, shelving, conveyors, forklifts, pallet jacks, carts, safety products, and warehouse vehicles. They provide warehouse solutions with services including installation, design, inspections, maintenance, and rentals primarily focused on material handling equipment.",No,,2.0,0.0,False,Confidence score 8.5 >= 7.0; Employee count 51 (from '51-200 (about 17 on LinkedIn)') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no. binghamton material handling primarily focuses on material handling equipment distribution rathe; No decision makers found,Success,"No. Binghamton Material Handling primarily focuses on material handling equipment distribution rather than door supply or manufacturing like Overly Door Co., Acudor Products, or voestalpine Roll Forming Corporation."
Crown Point Cabinetry,"Custom manufacturer of handcrafted cabinetry. Products include face and door frames, door panels, drawer fronts, finishes, antique and polished knobs, pulls, wooden knobs and hinges.",https://www.linkedin.com/company/crown-point-cabinetry,https://crown-point.com,51-200,51,Custom Cabinetry and Furniture Manufacturing,"Custom manufacturer of handcrafted cabinetry specializing in kitchens, baths, and rooms, offering bespoke cabinetry including door components and hardware, serving a national clientele.",No,,11.0,0.0,False,Confidence score 9.5 >= 7.0; Employee count 51 (from '51-200') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no; crown point cabinetry is distinct from typical door suppliers or manufacturers because it focuse; No decision makers found,Success,No; Crown Point Cabinetry is distinct from typical door suppliers or manufacturers because it focuses on bespoke and fully custom cabinetry rather than mass-produced door components.
All-Rite Group of Companies,"Custom manufacturer of material handling products. Products such as doors, strip curtains, grilles, shutters, gates, traffic bollards, gate hardware and operators, scissor lifts and tables are available.",https://ca.linkedin.com/company/all-rite-group-companies,https://all-ritedoors.ca,51-200,51,Facilities Services and Material Handling,"All-Rite Group of Companies operates as All-Rite Dock & Door Systems Inc based in Brampton, Ontario, Canada, specializing in custom manufacturing and servicing of material handling equipment such as doors, dock levelers, gates, traffic bollards, scissor lifts, tables, and related products. They provide supply, installation, maintenance, preventative maintenance including fire door drop testing, and 24/7 emergency repair services primarily in the Greater Toronto Area.",No confirmed information on dedicated DIV 8 estimators; estimating functions likely handled within sales or project management roles.,,5.0,0.0,False,Confidence score 9.5 >= 7.0; Employee count 51 (from '51-200') >= 10; Has estimator: no confirmed information on dedicated div 8 estimators; estimating functions likely handled within sales or project management roles.; ICP match: yes. the company is similar to other door suppliers and manufacturers like overly door co. and acudo; No decision makers found,Success,"Yes. The company is similar to other door suppliers and manufacturers like Overly Door Co. and Acudor Products, Inc. due to product overlap, but differentiates itself with a strong focus on regional service and comprehensive installation and maintenance offerings."
"Windsor Door, Siding & Window Co.","Distributor of doors, siding, and windows. Types of doors include garage, breakaway, aluminum, rolling, sectional, fire, and entry. Other products include grills, counter shutters, operators, and dock equipment. Markets served include commercial, restaurant, retail, and office.",,,51-200 (estimated),51,"Wholesale Building Materials - Doors, Siding, and Windows Distribution","Windsor Door, Siding & Window Co. distributes a wide range of doors (garage, breakaway, aluminum, rolling, sectional, fire, entry), siding, windows, grills, counter shutters, operators, and dock equipment, serving commercial, restaurant, retail, and office markets. It is a commercial-focused company distinct from Windsor Windows and Doors, with no clear official website or LinkedIn presence identified.",No clear evidence found that the company employs DIV 8 estimators.,,1.0,0.0,False,"Confidence score 6.5 < 7.0; Employee count 51 (from '51-200 (estimated)') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: yes, partially similar to other door suppliers and manufacturers like overly door co. and acudor pro; No decision makers found",Success,"Yes, partially similar to other door suppliers and manufacturers like Overly Door Co. and Acudor Products Inc. due to overlapping door product portfolios, but differs by also offering siding and dock equipment and targeting commercial markets."
"Controlled Environment Structures, Inc.","Custom manufacturer of engineered doors. Various types include insulated hinged and sliding, flexible traffic, personnel, power operated, folding, rollup, fire-rated, pharmaceutical and biomedical and corrosion resistant doors. Applications include cold storage, food processing, clean room and special industrial and controlled environments.",https://www.linkedin.com/company/controlled-environment-systems-llc/,https://www.controlledenviro.com/,51-200,51,"Construction and design of controlled environments including cold storage, cleanrooms, pharmaceutical and life sciences facilities","Controlled Environment Systems LLC specializes in custom engineered doors and turnkey controlled environment solutions, including design, installation, and support of cleanrooms, cold storage, pharmaceutical, biomedical, and industrial controlled environments.",Likely but not explicitly confirmed,,2.0,0.0,False,"Confidence score 9.2 >= 7.0; Employee count 51 (from '51-200') >= 10; Has estimator: likely but not explicitly confirmed; ICP mismatch: no, because the company focuses on complete controlled environment construction and turnkey solution; No decision makers found",Success,"No, because the company focuses on complete controlled environment construction and turnkey solutions rather than solely door manufacturing and supply."
Spacefile International Corp.,"Manufacturer of modular storage systems and accessories for storing applications. Products include track and decking systems, shelving, doors, locks, pegboard, drawers, plunger stops, dividers, reference shelves, boxes, label holders and mail slot inserts.",https://www.linkedin.com/company/spacefile-international-corp,https://spacefile.com/,51-200,51,"Retail Office Equipment, Commercial Shelving","Spacefile International Corp. is a Canadian manufacturer specializing in high-density modular storage systems and accessories, including doors and locking systems. They provide turnkey storage solutions with design, manufacturing, installation, and inventory management services across multiple industries.",No clear evidence of employing DIV 8 estimators; no public information found indicating dedicated division 8 estimator roles.,,4.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 51 (from '51-200') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: partial match. while spacefile offers door and lock products, it primarily focuses on comprehensive ; No decision makers found",Success,"Partial match. While Spacefile offers door and lock products, it primarily focuses on comprehensive modular storage solutions, making its market focus broader than typical door suppliers like Overly Door Co. or Acudor Products, Inc."
"Noise Barriers, LLC","Manufacturer of standard & custom sound control doors. Features include adjustable mortised bottom, double magnetic seals at head & jambs, cam-lift hinge design, split frame assembly, factory glazed vision panels doors, single-leaf & double-leaf & bi-fold designs. Applications include radio, TV & audio recording studios, stage & rehearsal areas, convention halls, auditoriums, music practice rooms, conference rooms, control rooms, offices & executive suites. ADA & HIPAA compliant. Meets ASTM standards.",https://www.linkedin.com/company/noisebarriers,https://www.noisebarriers.com/,51-200 employees,51,Industrial Machinery Manufacturing,"Noise Barriers, LLC manufactures standard and custom sound control doors and related acoustic products, featuring advanced sealing, multiple door designs, and compliance with ADA, HIPAA, and ASTM standards, serving niche markets like studios, auditoriums, and data centers.",No,,4.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 51 (from '51-200 employees') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no, the company specializes in acoustic sound control doors, distinguishing it from general door sup; No decision makers found",Success,"No, the company specializes in acoustic sound control doors, distinguishing it from general door suppliers like Overly Door Co. and Acudor Products, Inc."
"Sun Valley Supply, Inc.","Distributor of building and acoustical products for commercial applications. Drywall, insulation, mesh, masking film, lumber, anchors, adhesives, coatings, clips, access doors, staples, screws and tapes are available. Eyeglasses, N95 respirators and gloves are also offered.",https://www.linkedin.com/company/sun-valley-supply-inc,https://sunvalleysupply.com,51-200,51,Wholesale Building Materials,"Distributor of a broad range of commercial building products including drywall, insulation, acoustical products, access doors, and safety supplies.",No,,5.0,0.0,False,"Confidence score 9.0 >= 7.0; Employee count 51 (from '51-200') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no - the company is a broad commercial building materials distributor, not a specialized door suppli; No decision makers found",Success,"No - the company is a broad commercial building materials distributor, not a specialized door supplier or manufacturer."
Saferoom,Manufacturer of bullet resistant swinging and sliding doors with electromagnetic locks and coded keypad.,,https://saferoom.com,51-200,51,Security door manufacturing,"Manufacturer of custom UL-rated bullet resistant swinging and sliding doors with electromagnetic locks and coded keypad, specializing in ballistic safe room doors for high-end residential and commercial clients.",Likely but unconfirmed; no direct evidence though logical given specialized door manufacturing and estimating needs.,,1.0,0.0,False,"Confidence score 7.5 >= 7.0; Employee count 51 (from '51-200') >= 10; Has estimator: likely but unconfirmed; no direct evidence though logical given specialized door manufacturing and estimating needs.; ICP match: yes, similar in focusing on door manufacturing like overly door co. and acudor products, inc., but d; No decision makers found",Success,"Yes, similar in focusing on door manufacturing like Overly Door Co. and Acudor Products, Inc., but differs by specializing in ballistic protection and electromechanical security technology."
St. Germain's Glass Co.,Glass & Metal Fabrication,https://www.linkedin.com/company/st-germains-glass-co,https://www.stgermainsglass.com,51-200 (estimated),51,Glass and Metal Fabrication,"St. Germain's Glass Co. is a full service glass and metal fabrication company specializing in commercial and residential glazing including repair, replacement, installation, and storefront custom builds. Part of the Brin Glass Company family, it serves a broad area in the Upper Midwest with a skilled union workforce and a focus on customer service and quality.","No explicit evidence of DIV 8 estimators found; company has commercial estimators but not specifically for door, frame, and hardware components.",,2.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 51 (from '51-200 (estimated)') >= 10; Has estimator: Found estimator in employee titles; ICP match: no, the company is not similar to door suppliers or manufacturers like overly door co. or acudor pro; No decision makers found",Success,"No, the company is not similar to door suppliers or manufacturers like Overly Door Co. or Acudor Products as it focuses broadly on glass and metal fabrication rather than specialized door frame or hardware manufacturing."
